fecha;Run Fondo;serie;mes1;mes3;mes6;y1;ytd;rent
2023-06-29;8940;APV;;;;;YTD;
2023-06-29;8967;APV;;;;;YTD;-0.0590088779
2023-06-29;9073;APV;;;;;YTD;
2023-06-29;9221;APV;;;;;YTD;-0.0403596940
2023-06-29;9352;APV;;;;;YTD;
2023-06-29;9365;APV;;;;;YTD;
2023-06-29;9445;APV;;;;;YTD;-0.0420115340
2023-06-29;9449;APV;;;;;YTD;
2023-06-30;8940;APV;1M;;;;;
2023-06-30;8967;APV;1M;;;;;-0.0028360699
2023-06-30;9073;APV;1M;;;;;
2023-06-30;9221;APV;1M;;;;;-0.0018050770
2023-06-30;9352;APV;1M;;;;;
2023-06-30;9365;APV;1M;;;;;
2023-06-30;9445;APV;1M;;;;;0.0005214993
2023-06-30;9449;APV;1M;;;;;
2023-06-30;8940;APV;;3M;;;;
2023-06-30;8967;APV;;3M;;;;0.0156337362
2023-06-30;9073;APV;;3M;;;;
2023-06-30;9221;APV;;3M;;;;0.0262322332
2023-06-30;9352;APV;;3M;;;;
2023-06-30;9365;APV;;3M;;;;
2023-06-30;9445;APV;;3M;;;;0.0235856986
2023-06-30;9449;APV;;3M;;;;
2023-06-30;8940;APV;;;6M;;;
2023-06-30;8967;APV;;;6M;;;-0.0602046621
2023-06-30;9073;APV;;;6M;;;
2023-06-30;9221;APV;;;6M;;;-0.0416214096
2023-06-30;9352;APV;;;6M;;;
2023-06-30;9365;APV;;;6M;;;
2023-06-30;9445;APV;;;6M;;;-0.0438867364
2023-06-30;9449;APV;;;6M;;;
2023-06-30;8940;APV;;;;1Y;;
2023-06-30;8967;APV;;;;1Y;;-0.1983975204
2023-06-30;9073;APV;;;;1Y;;
2023-06-30;9221;APV;;;;1Y;;-0.1884552094
2023-06-30;9352;APV;;;;1Y;;
2023-06-30;9365;APV;;;;1Y;;
2023-06-30;9445;APV;;;;1Y;;-0.1885465947
2023-06-30;9449;APV;;;;1Y;;
2023-06-30;8940;APV;;;;;YTD;
2023-06-30;8967;APV;;;;;YTD;-0.0602046621
2023-06-30;9073;APV;;;;;YTD;
2023-06-30;9221;APV;;;;;YTD;-0.0416214096
2023-06-30;9352;APV;;;;;YTD;
2023-06-30;9365;APV;;;;;YTD;
2023-06-30;9445;APV;;;;;YTD;-0.0438867364
2023-06-30;9449;APV;;;;;YTD;
2023-07-01;8940;APV;1M;;;;;
2023-07-01;8967;APV;1M;;;;;-0.0036539168
2023-07-01;9073;APV;1M;;;;;
2023-07-01;9221;APV;1M;;;;;-0.0031780707
2023-07-01;9352;APV;1M;;;;;
2023-07-01;9365;APV;1M;;;;;
2023-07-01;9445;APV;1M;;;;;-0.0010278639
2023-07-01;9449;APV;1M;;;;;
2023-07-01;8940;APV;;3M;;;;
2023-07-01;8967;APV;;3M;;;;0.0142331609
2023-07-01;9073;APV;;3M;;;;
2023-07-01;9221;APV;;3M;;;;0.0234357842
2023-07-01;9352;APV;;3M;;;;
2023-07-01;9365;APV;;3M;;;;
2023-07-01;9445;APV;;3M;;;;0.0227853515
2023-07-01;9449;APV;;3M;;;;
2023-07-01;8940;APV;;;6M;;;
2023-07-01;8967;APV;;;6M;;;-0.0602046621
2023-07-01;9073;APV;;;6M;;;
2023-07-01;9221;APV;;;6M;;;-0.0416881547
2023-07-01;9352;APV;;;6M;;;
2023-07-01;9365;APV;;;6M;;;
2023-07-01;9445;APV;;;6M;;;-0.0439097505
2023-07-01;9449;APV;;;6M;;;
2023-07-01;8940;APV;;;;1Y;;
2023-07-01;8967;APV;;;;1Y;;-0.1996245879
2023-07-01;9073;APV;;;;1Y;;
2023-07-01;9221;APV;;;;1Y;;-0.1929461650
2023-07-01;9352;APV;;;;1Y;;
2023-07-01;9365;APV;;;;1Y;;
2023-07-01;9445;APV;;;;1Y;;-0.1952123636
2023-07-01;9449;APV;;;;1Y;;
2023-07-01;8940;APV;;;;;YTD;
2023-07-01;8967;APV;;;;;YTD;-0.0602046621
2023-07-01;9073;APV;;;;;YTD;
2023-07-01;9221;APV;;;;;YTD;-0.0415096837
2023-07-01;9352;APV;;;;;YTD;
2023-07-01;9365;APV;;;;;YTD;
2023-07-01;9445;APV;;;;;YTD;-0.0439097505
2023-07-01;9449;APV;;;;;YTD;
2023-07-02;8940;APV;1M;;;;;
2023-07-02;8967;APV;1M;;;;;0.0046242915
2023-07-02;9073;APV;1M;;;;;
2023-07-02;9221;APV;1M;;;;;0.0060749030
2023-07-02;9352;APV;1M;;;;;
2023-07-02;9365;APV;1M;;;;;
2023-07-02;9445;APV;1M;;;;;0.0068945400
2023-07-02;9449;APV;1M;;;;;
2023-07-02;8940;APV;;3M;;;;
2023-07-02;8967;APV;;3M;;;;0.0142331609
2023-07-02;9073;APV;;3M;;;;
2023-07-02;9221;APV;;3M;;;;0.0234394493
2023-07-02;9352;APV;;3M;;;;
2023-07-02;9365;APV;;3M;;;;
2023-07-02;9445;APV;;3M;;;;0.0227855504
2023-07-02;9449;APV;;3M;;;;
2023-07-02;8940;APV;;;6M;;;
2023-07-02;8967;APV;;;6M;;;-0.0602046621
2023-07-02;9073;APV;;;6M;;;
2023-07-02;9221;APV;;;6M;;;-0.0417105777
2023-07-02;9352;APV;;;6M;;;
2023-07-02;9365;APV;;;6M;;;
2023-07-02;9445;APV;;;6M;;;-0.0439318056
2023-07-02;9449;APV;;;6M;;;
2023-07-02;8940;APV;;;;1Y;;
2023-07-02;8967;APV;;;;1Y;;-0.1995261278
2023-07-02;9073;APV;;;;1Y;;
2023-07-02;9221;APV;;;;1Y;;-0.1932001250
2023-07-02;9352;APV;;;;1Y;;
2023-07-02;9365;APV;;;;1Y;;
2023-07-02;9445;APV;;;;1Y;;-0.1952309286
2023-07-02;9449;APV;;;;1Y;;
2023-07-02;8940;APV;;;;;YTD;
2023-07-02;8967;APV;;;;;YTD;-0.0602046621
2023-07-02;9073;APV;;;;;YTD;
2023-07-02;9221;APV;;;;;YTD;-0.0413971790
2023-07-02;9352;APV;;;;;YTD;
2023-07-02;9365;APV;;;;;YTD;
2023-07-02;9445;APV;;;;;YTD;-0.0439318056
2023-07-02;9449;APV;;;;;YTD;
2023-07-03;8940;APV;1M;;;;;
2023-07-03;8967;APV;1M;;;;;0.0016542898
2023-07-03;9073;APV;1M;;;;;
2023-07-03;9221;APV;1M;;;;;0.0027501032
2023-07-03;9352;APV;1M;;;;;
2023-07-03;9365;APV;1M;;;;;
2023-07-03;9445;APV;1M;;;;;0.0041977966
2023-07-03;9449;APV;1M;;;;;
2023-07-03;8940;APV;;3M;;;;
2023-07-03;8967;APV;;3M;;;;-0.0024835534
2023-07-03;9073;APV;;3M;;;;
2023-07-03;9221;APV;;3M;;;;0.0056267720
2023-07-03;9352;APV;;3M;;;;
2023-07-03;9365;APV;;3M;;;;
2023-07-03;9445;APV;;3M;;;;0.0056328132
2023-07-03;9449;APV;;3M;;;;
2023-07-03;8940;APV;;;6M;;;
2023-07-03;8967;APV;;;6M;;;-0.0588924937
2023-07-03;9073;APV;;;6M;;;
2023-07-03;9221;APV;;;6M;;;-0.0406708288
2023-07-03;9352;APV;;;6M;;;
2023-07-03;9365;APV;;;6M;;;
2023-07-03;9445;APV;;;6M;;;-0.0423482098
2023-07-03;9449;APV;;;6M;;;
2023-07-03;8940;APV;;;;1Y;;
2023-07-03;8967;APV;;;;1Y;;-0.2017979161
2023-07-03;9073;APV;;;;1Y;;
2023-07-03;9221;APV;;;;1Y;;-0.1961146119
2023-07-03;9352;APV;;;;1Y;;
2023-07-03;9365;APV;;;;1Y;;
2023-07-03;9445;APV;;;;1Y;;-0.1974016534
2023-07-03;9449;APV;;;;1Y;;
2023-07-03;8940;APV;;;;;YTD;
2023-07-03;8967;APV;;;;;YTD;-0.0629830080
2023-07-03;9073;APV;;;;;YTD;
2023-07-03;9221;APV;;;;;YTD;-0.0444469279
2023-07-03;9352;APV;;;;;YTD;
2023-07-03;9365;APV;;;;;YTD;
2023-07-03;9445;APV;;;;;YTD;-0.0465106336
2023-07-03;9449;APV;;;;;YTD;
2023-07-04;8940;APV;1M;;;;;
2023-07-04;8967;APV;1M;;;;;-0.0018796649
2023-07-04;9073;APV;1M;;;;;
2023-07-04;9221;APV;1M;;;;;-0.0007831614
2023-07-04;9352;APV;1M;;;;;
2023-07-04;9365;APV;1M;;;;;
2023-07-04;9445;APV;1M;;;;;0.0001752927
2023-07-04;9449;APV;1M;;;;;
